Humidity: 33.00 %, Temp: 28.30 Celsius
Humidity: 32.70 %, Temp: 28.30 Celsius
Humidity: 32.50 %, Temp: 28.30 Celsius
Humidity: 32.30 %, Temp: 28.30 Celsius
Humidity: 32.10 %, Temp: 28.30 Celsius
Humidity: 31.80 %, Temp: 28.20 Celsius
Humidity: 31.70 %, Temp: 28.20 Celsius
Humidity: 31.60 %, Temp: 28.20 Celsius
Humidity: 31.30 %, Temp: 28.20 Celsius
Humidity: 31.20 %, Temp: 28.20 Celsius
Humidity: 31.00 %, Temp: 28.20 Celsius
Humidity: 30.80 %, Temp: 28.10 Celsius
Humidity: 30.70 %, Temp: 28.10 Celsius
Humidity: 30.60 %, Temp: 28.10 Celsius
Humidity: 30.50 %, Temp: 28.10 Celsius
Humidity: 30.50 %, Temp: 28.00 Celsius
Humidity: 30.50 %, Temp: 28.00 Celsius
Humidity: 30.40 %, Temp: 28.00 Celsius